abbrev,name
A&M,Agricultural & Mechanical
A.T.C.L,Associate of Trinity College London
AAACC,Archbishop Abiodun Adetiloye Comprehensive College
AAACC,Akhand Anand Arts Commerce College
AAACE,American Association of Agricultural College Editors
AABC,Accrediting Association of Bible Colleges
AAC&U,Association of American Colleges and Universities
AACC,Anne Arundel Community College
AACC,Associate of the American College of Cardiology
AACC,American Association of Community Colleges
AACCB,Ashland Area Community Concert Band
AACCI,Ashtabula Area College Committee Inc
AACCS,American Association of Christian Colleges and Seminaries
AACE,Alabama Association of Colleges and Employers
AACE,Arkansas Association of Colleges and Employers
AACM,Ali Akbar College of Music
AACN,American Association of Colleges of Nursing
AACP,American Association of Colleges of Pharmacy
AACP,American Association of College of Pharmacy
AACRAO,American Association of College Registrars and Admissions Officers
AACTI,Alberta Association of Colleges & Technical Institutes
AACU,American Association of Colleges and Universities
AACU,Association of American Colleges and Universities
AACW,Anna Adarsh College for Women
AADC,Associate Alumnae Of Douglass College
AADC,Army Air Defence College
AAMC,Association of American Medical Colleges
AAMC,Academy of Advanced Media & Communication
AAMC,Al Ain Men's College
AAMEC,Anjalai Ammal Mahalingam Engineering College
AANMC,Association of Accredited Naturopathic Medical Colleges
AAPMC,Association of American Podiatric Medical Colleges
AASC,Assam Administrative Staff College
AASCB,American Association of Schools and Colleges of Business
AASCU,American Association of State Colleges and Universities
AAUC,American Association of Universities and Colleges
AAUC,Ammon Applied University College
AAVMC,Association of American Veterinary Medical Colleges
AAWC,Al Ain Women's College
ABAC,Abraham Baldwin Agricultural College
ABAC,Assumption Business Administration College
ABC,Atlantic Baptist College
ABC,Appalachian Bible College
ABCS,American Bible College and Seminary
ABHC,Army Burn Hall College
ABSC,Arizona Barber Styling College
ABUSCO,Abuakwa State College
AC,Assumption College
ACA,American College of Apothecaries
ACA,Atlanta College of Art
ACA,Awassa College of Agriculture
ACA,Appalachian College Association
ACAA,Atlantic Colleges Athletic Association
ACAC,American College Application Campaign
ACAC,ACAC Of course Alberta Colleges
ACACS,Arihant College of Arts Commerce and Science
ACACS,Arihant College of Arts Commerce Science
ACAD,Alberta College of Art & Design
ACAD,Alberta College of Art Design
ACAD,Alberta College of Art and Design
ACAM,American College for Advancement in Medicine
ACAN,Austin College Access Network
ACAO,Alberta College and Association of Opticians
ACAP,Australian College of Applied Psychology
ACAP,Association of College Administration Professionals
ACAS,American College of Applied Science
ACBA,American College of the Building Arts
ACBC,Abbey College Behaviour Committee
ACBC,Aloha College Basketball Club
ACC,Austin Community College
ACC,American College of Cardiology
ACC,Adirondack Community College
ACC,Arapahoe Community College
ACC,Associated Colleges in China
ACC,Alvin Community College
ACC,Alamance Community College
ACC,Association of Chiropractic Colleges
ACC,Army Cadet College
ACC,Asnuntuck Community College
ACCA,American College Counseling Association
ACCA,Association for Christian College Athletics
ACCA,Associated Colleges of the Chicago Area
ACCA,Association of Christian College Athletics
ACCA,Alabama Community College Association
ACCAC,Arizona Community College Athletic Conference
ACCC,Atlantic Cape Community College
ACCC,Association of Canadian Community Colleges
ACCC,Alabama Community College Conference
ACCD,Alamo Community College District
ACCD,Art Center College of Design
ACCD,American College of Corporate Directors
ACCD,Austin Community College District
ACCE,American College of Clinical Engineering
ACCE,Access to Community College Education
ACCE,Academy for College and Career Exploration
ACCEL,American College of Cardiology Extended Learning
ACCEPT,American College of Cardiology Evaluation of Preventive Therapies
ACCET,Alagappa Chettiar College of Engineering and Technology
ACCF,Amity College of Commerce and Finance
ACCF,American College of Cardiology Foundation
ACCFC,American College of Certified Forensic Counselors
ACCI,Admission and College Counseling Institute
ACCIS,American College for Computer and Information Sciences
ACCM,Accreditation Commission on Colleges of Medicine
ACCM,Accreditation Commission of Colleges of Medicine
ACCN,Adult College Completion Network
ACCO,American College of Chiropractic Orthopedists
ACCP,American College of Clinical Pharmacy
ACCP,American College of Correctional Physicians
ACCP,American College of Clinical Pharmacology
ACCR,American Chiropractic College of Radiology
ACCS,American Christian College and Seminary
ACCS,Alabama Community College System
ACCS,American Christian College
ACCSC,Accrediting Commission of Career Schools and Colleges
ACCSCT,Accrediting Commission of Career Schools and Colleges of Technology
ACCT,Association of Community College Trustees
ACCT,American College of Clinical Thermology
ACCT,American College of Commerce and Technology
ACCT,African College of Commerce and Technology
ACCTS,Association of Christian Colleges and Theological Schools
ACCU,Association of Catholic Colleges and Universities
ACDA,American College Dance Association
ACDE,Australian College of Dental Education
ACDM,American College of Domiciliary Midwifery
ACDN,Andrew College Digital Network
ACDN,Aotearoa College of Diabetes Nurses
ACDT,AsanSka College of Design and Technology
ACE,Achieving a College Education
ACE,Accelerated College Enrollment
ACE,Accelerated College Education
ACE,Adhiyamaan College of Engineering
ACE,American College of Education
ACE,Advanced College Enrollment
ACEAR,Ambala College of Engineering and Applied Research
ACEF,American College of Endocrinology Foundation
ACEIT,ARYA College of Engineering & I.T.
ACEM,Australasian College for Emergency Medicine
ACEM,Australian College of Emergency Medicine
ACEM,Aravali College of Engineering and Management
ACEMS,Amherst College Emergency Medical Services
ACEP,American College of Emergency Physicians
ACES,Accelerated College Enrollment Scholarship
ACES,American College of Eye Surgeons
ACES,Athletics Colleges Education Scholarships
ACES,Alamo Colleges Educational Services
ACET,Aligarh College of Engineering and Technology
ACETA,Association of College English Teachers of Alabama
ACETA,Association of College English Teachers
ACFA,Amarillo College Fencing Association
ACFAS,American College of Foot and Ankle Surgeons
ACFEI,American College of Forensic Examiners InstituteSM
ACFH,Alvernia College Field Hockey
ACFM,Australian College of Finance and Management
ACFP,Angel College Foundation Programme
ACFS,Assumption College For Sisters
ACFS,Advanced College Funding Solutions
ACG,American College of Greece
ACHA,American College Health Association
ACHE,American College of Heating Executives
ACHI,Australasian College of Health Informatics
ACHM,American College of Hyperbaric Medicine
ACHS,Australasian College of Health Sciences
ACHS,Association of College Honor Societies
ACHS,American College of Healthcare Sciences
ACICS,Accrediting Council for Independent Colleges and Schools
ACICU,Accrediting Commission of International Colleges and Universities
ACIF,Algonquin College Innovation Fund
ACIMD,American College Of Integrative Medicine And Dentistry
ACIP,American College of International Physicians
ACJC,Anglo Chinese Junior College
ACJC,Anglo-Chinese Junior College
ACKM,Australasian College of Kinesiology Mastery
ACKM,Australasian College Kinesiology Mastery
ACLM,American College of Lifestyle Medicine
ACLM,Australasian College of Legal Medicine
ACLM,Australasian College of
ACM,Associated Colleges of the Midwest
ACMC,Association of Canadian Medical Colleges
ACMC,American College
ACMCS,American College of Medical Coding Specialists
ACMG,American College of Medical Genetics
ACMI,American College of Medical Informatics
ACMIT,Arihant College of Management and Information Technology
ACMIT,Arihant College of Management Information Technology
ACMPE,American College of Medical Practice Executives
ACMS,Athens City Middle School
ACMS,Army College of Medical Sciences
ACMT,American College of Medical Toxicology
ACMT,Asian College of Management Technology
ACMT,Alberta College of Massage Therapy
ACMT,Amer College Med Tox
ACMT,American College of Manual Therapy
ACN,American College of Nutrition
ACNEM,Australasian College of Nutritional and Environmental Medicine
ACNM,Australian College of Natural Medicine
ACNM,American College of Nuclear Medicine
ACNO,American College of Naturopathic Obstetrics
ACNT,Australasian College of Natural Therapies
ACNT,Australian College of Natural Therapies
ACOC,Amherst College Outing Club
ACOC,American College Of Cardiology
ACOD,Australasian College of Optical Dispensing
ACOEM,American College of Occupational Environmental Medicine
ACOEP,American College of Osteopathic Emergency Physicians
ACOF,Altria College Opportunity Fund
ACOFP,American College of Osteopathic Family Physicians
ACOG,American College of Obstetricians and Gynecologists
ACOHA,American College of Osteopathic Hospital Administrators
ACOI,American College of Osteopathic Internists
ACOM,Alabama College of Osteopathic Medicine
ACOM,American College of Occupational Medicine
ACOM,Australian College Of Ministries
ACOMS,American College of Oral and Maxillofacial Surgeons
ACON,American College Of Nurse
ACOO,American College Of Obstetricians
ACORN,Australian College of Operating Room Nurses
ACOS,American College of Osteopathic Surgeons
ACOS,American College of Surgeons
ACOT,Alberta College of Occupational Therapists
ACP,Alberta College of Pharmacists
ACP,Advance College Project
ACP,Appalachian College of Pharmacy
ACP,American College of Phlebology
ACP,American College of Phlebology's
ACP,American College of
ACP,American College of Prosthodontists
ACPA,American College Personnel Association
ACPA,American College of Physician Advisors
ACPA,Armenian College and Philanthropic Academy
ACPD,Amherst College Police Department
ACPE,American College of Physician Executives
ACPE,Australian College of Physical Education
ACPHS,Albany College of Pharmacy and Health Sciences
ACPM,American College of Preventive Medicine
ACPN,American College of Professional Neuropsychology
ACPP,American College of Private Physicians
ACQ,Agricultural Colleges of Queensland
ACR,American College of
ACR,American College of Radiologists
ACR,American College of Radiology
ACRF,American College of Radiology Foundation
ACRH,American College of RHeumatology
ACRL,Association of College Research Libraries
ACRL,Association of College and Research Libraries
ACRM,American College of Rehabilitation Medicine
ACRO,American College of Radiation Oncology
ACRRM,Australian College of Rural and Remote Medicine
ACS,American College of Sofia
ACS,Associated Colleges of the South
ACSA,Association for College Student Affairs
ACSAT,"Asian College of Science & Technology, now simply known as Asian College."
ACSAT,Asian College of Science And Technology
ACSC,Air Command and Staff College
ACSC,Australian Command and Staff College
ACSCU,"Association of Christian Schools, Colleges and Universities"
ACSE,Australian College of Skills and Education
ACSEC,Aitchison College Science and Engineering Concept
ACSEP,Australasian College of Sport and Exercise Physicians
ACSEP,Advanced College Summer Enrichment Program
ACSF,Australian College of Sports and Fitness
ACSIS,Algonquin College Student Information System
ACSM,American College of Sports Medicine
ACST,Australian College of Sports Therapy
ACSW,Alberta College of Social Workers
ACT,American College Test
ACTB,Australian College of Technology and Business
ACTC,Associated Colleges of the Twin Cities
ACTC,Andhra Christian Theological College
ACTC,Ashland Community and Technical College
ACTF,American College Theater Festival
ACTL,American College of Trial Lawyers
ACTM,Atlantic College of Therapeutic Massage
ACTM,Australasian College of Tropical Medicine
ACTOR,Approved College and Training Organisation Register
ACTS,Asomugha College Tour for Scholars
ACUA,Association of College and University Auditors
ACUA,Association of College University Auditors
ACUC,Association of College and University Clubs
ACUCA,Association of Christian Universities and Colleges in Asia
ACUE,Association of College and University Educators
ACUI,Association of College Unions International
ACUP,Association of College and University Printers
ACUP,Association of College University Printers
ACURA,Abington College Undergraduate Research Activities
ACVA,American College for Vedic Astrology
ACVA,American College of Vedic Astrology
ACVCP,American College of Veterinary Clinical Pharmacology
ACVD,American College of Veterinary Dermatology
ACVECC,American College of Veterinary Emergency Critical Care
ACVIM,American College of Veterinary Internal Medicine
ACVN,Australian College of Veterinary Nursing
ACVP,American College of Veterinary Pharmacists
ACVP,American College Veterinary Pharmacists
ACVPM,American College of Veterinary Preventive Medicine
ACVR,American College of Veterinary Radiology
ACVS,American College of Veterinary Surgery
ACVS,American College of Veterinary Surgeons
ACWHP,American College of Women Health Physicians
ADA,Ada Developers Academy
ADCET,Annasaheb Dange College of Engineering & Technology
ADMC,Abu Dhabi Men's College
ADUC,Al Dar University College
ADWC,Abu Dhabi Women's College
AEC,Assam Engineering College
AECB,Adult Education College Bexley
AECC,Anglo European College of Chiropractic
AECC,Anglo-European College of Chiropractic
AECHS,Alief Early College High School
AECM,Albert Einstein College of Medicine
AECOM,Albert Einstein College Of Medicine
AERN,Anciens Elèves Ecole Roches Collège Normandie
AFC,Association of Florida Colleges
AFCSC,Armed Forces Command and Staff College
AFCU,Association of Franciscan Colleges and Universities
AFGCM,A Few Good College Men
AFMC,Armed Forces Medical College
AFMC,Armed Force Medical College
AFTC,Air Force Technical College
AGIC,Adarsh Gramin Inter College
AGMC,Afghan German Management College
AGMC,Agartala Government Medical College
AHC,Allan Hancock College
AHCD,American Heritage College Dictionary
AHIC,Australian Harbour International College
AIAC,Australian International Aviation College
AIC,Almost In College
AIC,American International College
AIC,Auckland International College
AIC,American Indian College
AICAD,Association of Independent Colleges of Art and Design
AICT,Art Images for College Teaching
AICU,Association of Independent Colleges Universities
AICU,Arkansas Independent Colleges and Universities
AIMC,Allama Iqbal Medical College
AIR,All India Ranking
AITC,Australian Industry Trade College
AJCE,Amal Jyothi College of Engineering
AJCU,Association of Jesuit Colleges and Universities
AJCU,Assocication Of Jesuit Colleges And Universities
AJCU,American Jesuit Colleges And University
AJCU,Association of Jesuit Colleges Universities
AJTC,Arusha Journalism Training College
AKGEC,Ajay Kumar Garg Engineering College
ALC,Alice Lloyd College
ALC,African Leadership College
ALCC,Apex Language and Career College
ALCD,Associate of the London College of Divinity
ALCF,Association of Lutheran College Faculties
ALCU,Association of Local Colleges and Universities
ALMC,Army Logistics Management College
AMACE,Arulmigu Meenakshi Amman College of Engineering
AMC,Albany Medical College
AMC,Assam Medical College
AMCAS,American Medical Colleges Application Service
AMRC,Academy of Medical Royal Colleges
AMSC,Army Management Staff College
ANBC,All Nations Bible College
ANC,Arkansas Northeastern College
ANC,Aaniiih Nakoda College
ANCC,All Nations Christian College
ANCT,Association of National Colleges of Technology
ANCT,Ariake National College of Technology
ANDC,Acharya Narendra Dev College
ANIC,Association of Northern Ireland Colleges
ANJAC,Ayya Nadar Janaki Ammal College
ANZCO,Australian and New Zealand College of Organists
AOC,Association Of Colleges
